year,country,alt,grid,laps,driver_nationality,constructor_nationality,number,q1_millsec,race_month,top_3
2009,Italy,162.0,17,53,Japanese,British,17,84074.0,9,no
2009,Italy,162.0,16,53,German,Japanese,10,84036.0,9,no
2009,Italy,162.0,1,52,British,British,1,83375.0,9,no
2009,Italy,162.0,19,52,Swiss,Italian,12,84220.0,9,no
2009,Italy,162.0,11,52,Italian,Japanese,9,84014.0,9,no
2009,Italy,162.0,12,52,French,French,8,83975.0,9,no
2009,Italy,162.0,18,51,German,British,16,84121.0,9,no
2009,Italy,162.0,7,22,Italian,Indian,21,83578.0,9,no
2009,Italy,162.0,20,19,Spanish,Italian,11,84951.0,9,no
2009,Italy,162.0,13,15,Polish,German,5,84001.0,9,no
2009,Italy,162.0,10,0,Australian,Austrian,14,83755.0,9,no
2009,Singapore,18.0,1,61,British,British,1,106977.0,9,yes
2009,Singapore,18.0,6,61,German,Japanese,10,107770.0,9,yes
2009,Singapore,18.0,5,61,Spanish,French,7,107757.0,9,yes
2009,Singapore,18.0,2,61,German,Austrian,15,107541.0,9,no
2009,Singapore,18.0,11,61,British,British,22,107180.0,9,no
2009,Singapore,18.0,9,61,Brazilian,British,23,107397.0,9,no
2009,Singapore,18.0,8,61,Finnish,British,2,107542.0,9,no
2009,Singapore,18.0,7,61,Polish,German,5,107615.0,9,no
2009,Singapore,18.0,10,61,Japanese,British,17,107637.0,9,no
2009,Singapore,18.0,12,61,Finnish,Italian,4,107293.0,9,no
2009,Singapore,18.0,3,61,German,British,16,107390.0,9,no
2009,Singapore,18.0,14,61,Italian,Japanese,9,107690.0,9,no
2009,Singapore,18.0,17,61,Italian,Italian,3,108350.0,9,no
2009,Singapore,18.0,19,61,Italian,Indian,21,108792.0,9,no
2009,Singapore,18.0,16,47,Spanish,Italian,11,108340.0,9,no
2009,Singapore,18.0,13,47,Swiss,Italian,12,107677.0,9,no
2009,Singapore,18.0,4,45,Australian,Austrian,14,107646.0,9,no
2009,Singapore,18.0,15,23,German,Indian,20,108231.0,9,no
2009,Singapore,18.0,20,19,German,German,6,107347.0,9,no
2009,Singapore,18.0,18,3,French,French,8,108544.0,9,no
2009,Japan,45.0,1,53,German,Austrian,15,90883.0,10,yes
2009,Japan,45.0,2,53,Italian,Japanese,9,91063.0,10,yes
2009,Japan,45.0,3,53,British,British,1,90917.0,10,yes
2009,Japan,45.0,5,53,Finnish,Italian,4,91288.0,10,no
2009,Japan,45.0,7,53,German,British,16,91286.0,10,no
2009,Japan,45.0,4,53,German,German,6,91501.0,10,no
2009,Japan,45.0,6,53,Brazilian,British,23,91272.0,10,no
2009,Japan,45.0,10,53,British,British,22,91041.0,10,no
2009,Japan,45.0,9,53,Polish,German,5,91417.0,10,no
2009,Japan,45.0,16,53,Spanish,French,7,91401.0,10,no
2009,Japan,45.0,11,53,Finnish,British,2,91499.0,10,no
2009,Japan,45.0,14,53,Italian,Italian,3,91704.0,10,no
2009,Japan,45.0,8,53,German,Indian,20,91386.0,10,no
2009,Japan,45.0,18,53,Italian,Indian,21,92087.0,10,no
2009,Japan,45.0,15,53,Japanese,British,17,91718.0,10,no
2009,Japan,45.0,17,52,French,French,8,92073.0,10,no
2009,Japan,45.0,19,51,Australian,Austrian,14,84503.0,10,no
2009,Japan,45.0,12,43,Spanish,Italian,11,91571.0,10,no
2009,Japan,45.0,13,11,Swiss,Italian,12,91196.0,10,no
2009,Japan,45.0,20,0,German,Japanese,10,91550.0,10,no
2009,Brazil,785.0,2,71,Australian,Austrian,14,84722.0,10,yes
2009,Brazil,785.0,8,71,Polish,German,5,83072.0,10,yes
2009,Brazil,785.0,17,71,British,British,1,85192.0,10,yes
2009,Brazil,785.0,15,71,German,Austrian,15,85009.0,10,no
2009,Brazil,785.0,14,71,British,British,22,84297.0,10,no
2009,Brazil,785.0,5,71,Finnish,Italian,4,83047.0,10,no
2009,Brazil,785.0,6,71,Swiss,Italian,12,84591.0,10,no
2009,Brazil,785.0,1,71,Brazilian,British,23,84100.0,10,no
2009,Brazil,785.0,16,71,Finnish,British,2,85052.0,10,no
2009,Brazil,785.0,11,71,Japanese,Japanese,10,84335.0,10,no
2009,Brazil,785.0,19,71,Italian,Italian,3,100703.0,10,no
2009,Brazil,785.0,20,71,Italian,Indian,21,84645.0,10,no
2009,Brazil,785.0,13,70,French,French,8,84394.0,10,no
2009,Brazil,785.0,12,70,Spanish,Italian,11,84773.0,10,no
2009,Brazil,785.0,9,30,Japanese,British,17,83161.0,10,no
2009,Brazil,785.0,7,27,German,British,16,82828.0,10,no
2009,Brazil,785.0,18,21,German,German,6,85515.0,10,no
2009,Brazil,785.0,3,0,German,Indian,20,84447.0,10,no
2009,Brazil,785.0,4,0,Italian,Japanese,9,84621.0,10,no
2009,Brazil,785.0,10,0,Spanish,French,7,84842.0,10,no
2009,UAE,3.0,2,55,German,Austrian,15,100666.0,11,yes
2009,UAE,3.0,3,55,Australian,Austrian,14,100667.0,11,yes
2009,UAE,3.0,5,55,British,British,22,100378.0,11,yes
2009,UAE,3.0,4,55,Brazilian,British,23,100574.0,11,no
2009,UAE,3.0,8,55,German,German,6,100558.0,11,no
2009,UAE,3.0,12,55,Japanese,Japanese,10,101035.0,11,no
2009,UAE,3.0,6,55,Italian,Japanese,9,100517.0,11,no
2009,UAE,3.0,10,55,Swiss,Italian,12,100908.0,11,no
